REF_AREA,TIME_PERIOD,proba_decel,pred_050
AUT,2011,0.4976359274035083,0
AUT,2012,0.3593142264892955,0
AUT,2013,0.3151650548889242,0
AUT,2014,0.3310327206633599,0
AUT,2015,0.3498100305214927,0
AUT,2016,0.4166270761807251,0
AUT,2017,0.4350053502191417,0
AUT,2018,0.4583633454082807,0
AUT,2019,0.4076300026107666,0
AUT,2020,0.076477367471508,0
AUT,2021,0.5280738430235323,1
BEL,2011,0.3862961603588503,0
BEL,2012,0.3570306999462937,0
BEL,2013,0.3000155255557815,0
BEL,2014,0.3726301746821291,0
BEL,2015,0.4132596172778568,0
BEL,2016,0.3466200971174668,0
BEL,2017,0.4163454884052904,0
BEL,2018,0.4423432716974076,0
BEL,2019,0.4953673145464236,0
BEL,2020,0.1034870444139777,0
BEL,2021,0.7045807154248828,1
CYP,2011,0.2763718633581135,0
CYP,2012,0.0909770954906679,0
CYP,2013,0.0272841485803509,0
CYP,2014,0.0827448079048753,0
CYP,2015,0.3166149996605862,0
CYP,2016,0.5809817910855986,1
CYP,2017,0.5191168822382801,1
CYP,2018,0.6158839731335468,1
CYP,2019,0.5988365635860396,1
CYP,2020,0.0982102770732928,0
CYP,2021,0.8108021264090356,1
DEU,2011,0.7996412180261211,1
DEU,2012,0.6295562543378015,1
DEU,2013,0.629496862384762,1
DEU,2014,0.736867816982874,1
DEU,2015,0.6911781605473144,1
DEU,2016,0.755816837611715,1
DEU,2017,0.7751210488144566,1
DEU,2018,0.6932200479425451,1
DEU,2019,0.7050329999744263,1
DEU,2020,0.4268342035737369,0
DEU,2021,0.7854759868143641,1
ESP,2011,0.1775935405220459,0
ESP,2012,0.097222693190639,0
ESP,2013,0.1196274480221935,0
ESP,2014,0.2369317938761209,0
ESP,2015,0.4445021899299485,0
ESP,2016,0.4314322529827479,0
ESP,2017,0.4514686477814933,0
ESP,2018,0.4571908127662468,0
ESP,2019,0.4632699407082862,0
ESP,2020,0.0239025893758484,0
ESP,2021,0.6868108278176953,1
EST,2011,0.5206070550681422,1
