REF_AREA,TIME_PERIOD,IMF_WEO_BCA,IMF_WEO_BCA_NGDPD,IMF_WEO_GGR,IMF_WEO_GGR_NGDP,IMF_WEO_GGSB,IMF_WEO_GGSB_NPGDP,IMF_WEO_GGX,IMF_WEO_GGXCNL,IMF_WEO_GGXCNL_NGDP,IMF_WEO_GGXONLB,IMF_WEO_GGXONLB_NGDP,IMF_WEO_GGXWDG,IMF_WEO_GGXWDG_NGDP,IMF_WEO_GGXWDN,IMF_WEO_GGXWDN_NGDP,IMF_WEO_GGX_NGDP,IMF_WEO_LE,IMF_WEO_LP,IMF_WEO_LUR,IMF_WEO_NGAP_NPGDP,IMF_WEO_NGDP,IMF_WEO_NGDPD,IMF_WEO_NGDPDPC,IMF_WEO_NGDPPC,IMF_WEO_NGDPRPC,IMF_WEO_NGDPRPPPPC,IMF_WEO_NGDP_D,IMF_WEO_NGDP_FY,IMF_WEO_NGDP_R,IMF_WEO_NGDP_RPCH,IMF_WEO_NGSD_NGDP,IMF_WEO_NID_NGDP,IMF_WEO_PCPI,IMF_WEO_PCPIE,IMF_WEO_PCPIEPCH,IMF_WEO_PCPIPCH,IMF_WEO_PPPEX,IMF_WEO_PPPGDP,IMF_WEO_PPPPC,IMF_WEO_PPPSH,IMF_WEO_TMG_RPCH,IMF_WEO_TM_RPCH,IMF_WEO_TXG_RPCH,IMF_WEO_TX_RPCH,g_growth,g_growth_next,target
AUT,1993,-1.013,-0.532,79.593,49.468,-5.851,-3.603,86.901,-7.308,-4.542,-3.248,-2.019,97.552,60.629,,,54.009,3.544,7.883,3.958,-0.567,160.9,190.383,24152.66,20412.3,29195.8,38986.98,69.915,160.9,230.136,0.527,22.927,25.361,82.106,82.771,3.096,3.234,0.898,179.182,22731.57,0.514,-4.615,-5.489,-3.391,-2.373,-0.532,-1.467,0
AUT,1994,-2.992,-1.467,82.782,49.005,-7.7,-4.507,91.251,-8.469,-5.013,-4.281,-2.534,107.64,63.721,,,54.019,3.562,7.929,3.85,-0.785,168.925,203.97,25725.56,21305.53,29722.91,39690.87,71.68,168.925,235.664,2.402,22.855,26.187,84.332,84.748,2.388,2.711,0.901,187.404,23636.17,0.511,10.391,10.332,8.291,5.688,-1.467,-2.86,0
AUT,1995,-6.9,-2.86,87.725,49.681,-10.273,-5.755,98.568,-10.843,-6.141,-5.135,-2.908,119.834,67.865,,,55.821,3.559,7.948,4.242,-0.731,176.578,241.234,30350.53,22215.88,30440.75,40649.44,72.981,176.578,241.952,2.668,23.979,26.768,85.691,85.218,0.555,1.611,0.899,196.438,24714.48,0.506,5.556,5.905,12.037,7.205,-2.86,-2.838,0
AUT,1996,-6.736,-2.838,93.592,51.272,-7.345,-3.997,101.546,-7.954,-4.357,-1.907,-1.045,123.776,67.807,,,55.629,3.535,7.959,4.717,-0.676,182.541,237.343,29820.6,22935.1,31128.75,41568.17,73.678,182.541,247.754,2.398,23.499,26.338,87.209,87.209,2.336,1.771,0.891,204.832,25735.78,0.499,5.846,8.642,6.96,9.979,-2.838,-2.546,0
AUT,1997,-5.424,-2.546,94.181,49.904,-5.022,-2.651,98.658,-4.476,-2.372,1.225,0.649,119.001,63.056,,,52.276,3.545,7.968,4.758,-0.385,188.724,213.045,26737.48,23685.09,31744.45,42390.36,74.612,188.724,252.941,2.094,23.668,26.214,88.226,88.078,0.996,1.167,0.887,212.726,26697.38,0.49,8.936,7.27,15.559,11.028,-2.546,-1.852,0
AUT,1998,-4.048,-1.852,100.893,51.385,-5.778,-2.961,106.133,-5.24,-2.669,0.372,0.19,135.123,68.819,,,54.054,3.57,7.977,4.708,0.617,196.347,218.557,27399.09,24614.74,32845.3,43860.38,74.941,196.347,262.0,3.581,24.253,26.106,88.947,88.512,0.493,0.817,0.881,222.821,27933.69,0.493,7.261,5.758,8.195,7.852,-1.852,-2.261,0
AUT,1999,-4.917,-2.261,97.21,47.687,-6.529,-3.238,102.547,-5.337,-2.618,0.449,0.22,124.559,61.103,82.308,40.377,50.305,3.605,7.992,4.142,1.105,203.851,217.475,27210.47,25505.8,33947.29,45331.94,75.134,203.851,271.318,3.556,23.857,26.118,89.406,89.984,1.663,0.516,0.871,234.011,29279.42,0.494,5.779,4.064,7.804,6.434,-2.261,-0.706,0
AUT,2000,-1.393,-0.706,103.793,48.591,-8.045,-3.83,108.201,-4.407,-2.063,1.423,0.666,140.42,65.738,93.415,43.732,50.654,3.635,8.012,3.883,1.688,213.606,197.377,24636.47,26662.25,35008.96,46749.66,76.158,213.606,280.477,3.376,25.221,25.927,91.155,91.625,1.824,1.956,0.863,247.39,30879.09,0.487,11.354,10.186,13.368,13.525,-0.706,-0.796,0
AUT,2001,-1.573,-0.796,111.803,50.699,-3.476,-1.588,113.255,-1.452,-0.658,4.464,2.024,146.328,66.355,93.232,42.277,51.357,3.652,8.042,4.008,0.768,220.525,197.51,24558.92,27420.66,35317.14,47161.19,77.641,220.525,284.031,1.267,24.365,25.161,93.253,93.242,1.765,2.302,0.861,256.166,31852.31,0.481,4.906,5.192,6.005,5.771,-0.796,2.102,0
AUT,2002,4.504,2.102,114.651,50.566,-4.533,-2.005,118.878,-4.228,-1.865,1.324,0.584,151.862,66.978,100.305,44.239,52.43,3.66,8.082,4.392,0.276,226.735,214.243,26508.32,28053.94,35723.49,47703.82,78.531,226.735,288.722,1.652,25.745,23.643,94.821,94.811,1.682,1.681,0.857,264.443,32719.49,0.476,-0.038,0.291,4.281,4.286,2.102,1.548,0
