Model,Precision,Recall,F1,ROC-AUC,PR-AUC
XGBoost(best),0.4166666666666667,0.2631578947368421,0.3225806451612903,0.6960950764006791,0.37279785542735266
Random Forest(best),0.20689655172413793,0.631578947368421,0.3116883116883117,0.681239388794567,0.2449078405270165
Logistic(best),0.14678899082568808,0.8421052631578947,0.25,0.6833616298811545,0.29387054585937067
